gene,category,ecg_link,mean_young,mean_old,mean_fc,cv_young,cv_old,cv_fc,fano_young,fano_old,fano_fc,det_young,det_old,det_change,frac_low_young,frac_low_old,MW_p,r_rb
Gja1,Gap Junction,"Inter-cell conduction speed → QRS width, β",348.8333435058594,320.1499938964844,0.9177734865563584,1.0819088220596313,2.0614013671875,1.9053374232250064,408.31878662109375,1360.4376220703125,3.3318026665590414,0.5283018867924528,0.2777777777777778,-0.25052410901467503,0.6037735849056604,0.8472222222222222,2.5101782995067626e-17,-0.2894392033542976
Gja5,Gap Junction,Conduction system coupling → PR interval,82.84444427490234,77.125,0.9309616435361249,1.493077278137207,0.9586583375930786,0.6420688008788935,184.68344116210938,70.8798599243164,0.38379109398389577,0.2830188679245283,0.05555555555555555,-0.22746331236897274,0.7861635220125787,0.9513888888888888,5.514070188677638e-19,-0.2261093640810623
Gjc1,Gap Junction,,90.17391204833984,76.21428680419922,0.8451921966448873,1.650631070137024,2.373241662979126,1.4377783781703055,245.68629455566406,429.25994873046875,1.7471871986461711,0.14465408805031446,0.09722222222222222,-0.04743186582809224,0.8805031446540881,0.9375,0.019396755747310482,-0.051013277428371806
Scn5a,Ion Channel,"Depolarization speed → QRS shape, β",77.875,371.81817626953125,4.774551220154494,0.8926449418067932,2.3641483783721924,2.648475634205628,62.05196762084961,2078.165283203125,33.49072338690605,0.20125786163522014,0.0763888888888889,-0.12486897274633124,0.8490566037735849,0.9513888888888888,1.1130357402436699e-07,-0.12355870020964366
Kcnj2,Ion Channel,Resting potential → Arrhythmogenicity,41.703704833984375,325.20001220703125,7.797868642644564,1.2706577777862549,1.4995793104171753,1.1801598641529967,67.3335952758789,731.2896118164062,10.860694558491488,0.16981132075471697,0.034722222222222224,-0.13508909853249473,0.8616352201257862,0.9652777777777778,6.393824868423453e-11,-0.13373515024458427
Cacna1c,Ion Channel,AP plateau → ST-T morphology (STTC),40.03125,65.125,1.6268540202966433,1.6301138401031494,1.0971217155456543,0.6730338020295756,106.37389373779297,78.38939666748047,0.736923261084218,0.20125786163522014,0.05555555555555555,-0.14570230607966458,0.8490566037735849,0.9652777777777778,1.7712960688123108e-10,-0.14399895178197064
Kcnq1,Ion Channel,Repolarization → QT duration,108.06382751464844,162.90908813476562,1.5075265413182104,0.8542658090591431,1.071731686592102,1.2545646509866384,78.86174774169922,187.1188201904297,2.37274503227232,0.29559748427672955,0.0763888888888889,-0.21920859538784065,0.7735849056603774,0.9375,1.5123721708703583e-16,-0.2174615653389238
Hcn4,Ion Channel,Pacemaker current → Heart rate,,,,,,,,,,0.006289308176100629,0.006944444444444444,0.0006551362683438148,0.0,0.0,0.9102465741844259,0.0006114605171209098
Dsp,Structural,,314.83782958984375,144.67999267578125,0.45953814655711384,0.8518508076667786,1.6147195100784302,1.8955426179628225,228.4619903564453,377.22686767578125,1.6511581076888706,0.46540880503144655,0.1736111111111111,-0.29179769392033544,0.6477987421383647,0.9027777777777778,8.685780459541914e-24,-0.32158455625436755
Jup,Structural,,204.54347229003906,209.67999267578125,1.0251121208036338,1.7713878154754639,1.9511560201644897,1.101484385925266,641.819580078125,798.2538452148438,1.2437355761531566,0.5786163522012578,0.3472222222222222,-0.23139412997903563,0.5660377358490566,0.7638888888888888,1.5999557320185818e-12,-0.24991264849755424
Pkp2,Structural,,101.13953399658203,236.90908813476562,2.3423984546218284,1.0142277479171753,1.195119023323059,1.1783537038671672,104.0379867553711,338.3795166015625,3.252461213010672,0.27044025157232704,0.0763888888888889,-0.19405136268343814,0.7924528301886793,0.9444444444444444,8.300952870095734e-14,-0.19108141160027947
Ryr2,Contractile,,660.2857055664062,536.566650390625,0.8126279970431094,0.8856655359268188,2.646815538406372,2.9885046115479357,517.9303588867188,3758.9892578125,7.257711762431486,0.48427672955974843,0.20833333333333334,-0.27594339622641506,0.6352201257861635,0.8958333333333334,1.8933006116807225e-21,-0.3116264849755417
Atp2a2,Contractile,,3580.92626953125,2345.53857421875,0.6550088992828622,1.1330807209014893,2.347637891769409,2.071907012857484,4597.45068359375,12927.2099609375,2.8118213441786213,0.7672955974842768,0.4513888888888889,-0.3159067085953879,0.42138364779874216,0.7222222222222222,8.609812703349837e-29,-0.41500698812019565
Col1a1,Fibrosis,,215.2903289794922,188.0833282470703,0.8736264612470654,1.7181113958358765,1.689706563949585,0.9834674096480966,635.5169677734375,536.998291015625,0.844978683884748,0.1949685534591195,0.08333333333333333,-0.11163522012578618,0.8490566037735849,0.9583333333333334,8.13170299657143e-07,-0.11482354996505939
Col3a1,Fibrosis,,670.05126953125,145.04347229003906,0.21646623010132882,2.3865020275115967,1.9292044639587402,0.8083816572200108,3816.20458984375,539.8270874023438,0.14145653742962622,0.24528301886792453,0.1597222222222222,-0.08556079664570232,0.7547169811320755,0.8402777777777778,0.0006523455367150328,-0.09215583508036329
Acta2,Fibrosis,,982.6774291992188,199.04347229003906,0.20255219706454342,4.531224727630615,2.64861798286438,0.5845258494273239,20176.33203125,1396.3251953125,0.06920609718108373,0.1949685534591195,0.1597222222222222,-0.0352463312368973,0.8427672955974843,0.9236111111111112,0.0796453363699793,-0.04485499650593994
Postn,Fibrosis,,138.3333282470703,112.0,0.8096385839857937,1.2336409091949463,2.0925028324127197,1.6962009096944204,210.52532958984375,490.3995666503906,2.329408853584565,0.05660377358490566,0.05555555555555555,-0.0010482180293501092,0.9433962264150944,0.9444444444444444,0.9410898637953267,-0.0011355695317960546
Gapdh,Housekeeping,,1406.8455810546875,1466.4888916015625,1.0423950654926615,1.003739356994629,2.668100118637085,2.6581603082954155,1417.3865966796875,10439.5791015625,7.365371681951724,0.9371069182389937,0.9375,0.00039308176100627534,0.29559748427672955,0.5486111111111112,1.2367121634078596e-18,-0.3380066387141858
Actb,Housekeeping,,1166.4678955078125,1586.0,1.359660223918591,2.402330160140991,5.396778583526611,2.24647663883547,6731.90771484375,46192.6015625,6.861740166260159,0.9811320754716981,0.9305555555555556,-0.05057651991614254,0.22641509433962265,0.13194444444444445,0.10868771182952393,0.0615391334730957
